Job ID,Title,Company,Work Location,Work Style,About Job,Experience required,Skills required,HR Name,HR Link,Resume,Re-posted,Date Posted,Date Applied,Job Link,External Job link,Questions Found,Connect Request
NK_1781517320,Java Developers,JK Lucent,Pune,Remote,Applied via Naukri Bot Integration,4,Java Full Stack Developer,Unknown,Unknown,PAVAN_WAKADE_4+.pdf,No,2026-06-15,2026-06-15 15:25:20,https://jklucent.com/java-developers/,Naukri Applied,None,No
NK_1781517356,Mid Experience Java Developer,Crayontek,Pune,Remote,Applied via Naukri Bot Integration,4,Java Full Stack Developer,Unknown,Unknown,PAVAN_WAKADE_4+.pdf,No,2026-06-15,2026-06-15 15:25:56,https://crayontek.com/career.html#meeting,Naukri Applied,None,No
NK_1781517423,Java Developer,Irisidea,Pune,Remote,Applied via Naukri Bot Integration,4,Java Full Stack Developer,Unknown,Unknown,PAVAN_WAKADE_4+.pdf,No,2026-06-15,2026-06-15 15:27:03,https://irisidea.com/java-developer-core-java-junit-mockito-jmock-springboot/,Naukri Applied,None,No
NK_1781527642,Senior Drupal Developer | MySQL is mandatory,APA Engineering,Pune,Remote,Applied via Naukri Bot Integration,4,Java Full Stack Developer,Unknown,Unknown,PAVAN_WAKADE_4+.pdf,No,2026-06-15,2026-06-15 18:17:22,https://www.naukri.com/job-listings-senior-drupal-developer-mysql-is-mandatory-apa-engineering-chennai-4-to-8-years-190126020139,Naukri Applied,None,No
NK_1781528057,AI Engineer/ AI Developer,TSIT Digital,Pune,Remote,Applied via Naukri Bot Integration,4,Java Full Stack Developer,Unknown,Unknown,PAVAN_WAKADE_4+.pdf,No,2026-06-15,2026-06-15 18:24:17,https://www.naukri.com/job-listings-ai-engineer-ai-developer-tsit-digital-technologies-bengaluru-3-to-5-years-150626028542,Naukri Applied,None,No
NK_1781528214,JAVA Developer,Citta Solutions,Pune,Remote,Applied via Naukri Bot Integration,4,Java Full Stack Developer,Unknown,Unknown,PAVAN_WAKADE_4+.pdf,No,2026-06-15,2026-06-15 18:26:54,https://www.cittasolutions.com/apply-job,Naukri Applied,None,No
NK_1781528257,Java Developer,NTK Creative Tech,Pune,Remote,Applied via Naukri Bot Integration,4,Java Full Stack Developer,Unknown,Unknown,PAVAN_WAKADE_4+.pdf,No,2026-06-15,2026-06-15 18:27:37,https://www.naukri.com/,Naukri Applied,None,No
NK_1781528368,Jr Java/Java/Sr Java Developer,Wovv Technology,Pune,Remote,Applied via Naukri Bot Integration,4,Java Full Stack Developer,Unknown,Unknown,PAVAN_WAKADE_4+.pdf,No,2026-06-15,2026-06-15 18:29:28,https://www.naukri.com/job-listings-jr-java-java-sr-java-developer-wovv-technology-vadodara-2-to-5-years-030626019343,Naukri Applied,None,No
NK_1781528405,Java Reactive Programming,Software Company,Pune,Remote,Applied via Naukri Bot Integration,4,Java Full Stack Developer,Unknown,Unknown,PAVAN_WAKADE_4+.pdf,No,2026-06-15,2026-06-15 18:30:05,https://www.naukri.com/job-listings-java-reactive-programming-saino-koyo-consulting-noida-5-to-10-years-150626003701,Naukri Applied,None,No
NK_1781528544,"Associate Staff Engineer, Java Application Support",Nagarro,Pune,Remote,Applied via Naukri Bot Integration,4,Java Full Stack Developer,Unknown,Unknown,PAVAN_WAKADE_4+.pdf,No,2026-06-15,2026-06-15 18:32:24,https://www.naukri.com/job-listings-associate-staff-engineer-java-application-support-nagarro-gurugram-4-to-7-years-100626015365,Naukri Applied,None,No
NK_1781590934,Senior Software Engineer,Aeries Technology,Pune,Remote,Applied via Naukri Bot Integration,4,Java Full Stack Developer,Unknown,Unknown,PAVAN_WAKADE_4+.pdf,No,2026-06-16,2026-06-16 11:52:14,https://www.naukri.com/job-listings-senior-software-engineer-eteam-pune-6-to-9-years-160626006006,Naukri Applied,None,No
NK_1781591333,"Associate Staff Engineer, Java Application Support",Nagarro,Pune,Remote,Applied via Naukri Bot Integration,4,Java Full Stack Developer,Unknown,Unknown,PAVAN_WAKADE_4+.pdf,No,2026-06-16,2026-06-16 11:58:53,https://www.naukri.com/job-listings-associate-staff-engineer-java-application-support-nagarro-gurugram-4-to-7-years-100626015365,Naukri Applied,None,No
NK_1781591409,Software Engineer Backend iAcuity Fintech (WFH),Iacuity Telco,Pune,Remote,Applied via Naukri Bot Integration,4,Java Full Stack Developer,Unknown,Unknown,PAVAN_WAKADE_4+.pdf,No,2026-06-16,2026-06-16 12:00:09,https://www.naukri.com/job-listings-software-engineer-backend-iacuity-fintech-wfh-iacuity-telco-mumbai-5-to-10-years-170925025557,Naukri Applied,None,No
NK_1781591459,Backend Developer at A FinTech Company,Talentzo Delhi,Pune,Remote,Applied via Naukri Bot Integration,4,Java Full Stack Developer,Unknown,Unknown,PAVAN_WAKADE_4+.pdf,No,2026-06-16,2026-06-16 12:00:59,https://www.naukri.com/job-listings-backend-developer-at-a-fintech-company-talentzo-delhi-gurugram-5-to-8-years-200526042934,Naukri Applied,None,No
NK_1781591479,Backend Developer at An IT Service Company,Talentzo Delhi,Pune,Remote,Applied via Naukri Bot Integration,4,Java Full Stack Developer,Unknown,Unknown,PAVAN_WAKADE_4+.pdf,No,2026-06-16,2026-06-16 12:01:19,https://www.naukri.com/job-listings-backend-developer-at-an-it-service-company-talentzo-delhi-hyderabad-7-to-11-years-150626032200,Naukri Applied,None,No
NK_1781592984,Java Back End Developer,Pyramid It Consulting,Pune,Remote,Applied via Naukri Bot Integration,4,Java Full Stack Developer,Unknown,Unknown,PAVAN_WAKADE_4+.pdf,No,2026-06-16,2026-06-16 12:26:24,https://www.naukri.com/job-listings-java-back-end-developer-pyramid-it-consulting-pune-6-to-11-years-190526038197,Naukri Applied,None,No
NK_1781791599,Java Full Stack Developer,Codincity Digital Technologies,Pune,Remote,Applied via Naukri Bot Integration,4,Java Full Stack Developer,Unknown,Unknown,PAVAN_WAKADE_4+.pdf,No,2026-06-18,2026-06-18 19:36:39,https://www.naukri.com/job-listings-java-full-stack-developer-codincity-digital-technologies-bengaluru-10-to-18-years-170626023634,Naukri Applied,None,No
NK_1781791619,Hiring For Java fullstack developer,Kumaran Systems,Pune,Remote,Applied via Naukri Bot Integration,4,Java Full Stack Developer,Unknown,Unknown,PAVAN_WAKADE_4+.pdf,No,2026-06-18,2026-06-18 19:36:59,https://www.naukri.com/job-listings-hiring-for-java-fullstack-developer-kumaran-systems-chennai-5-to-10-years-180626013699,Naukri Applied,None,No
